Date,HDFCBANK,HINDUNILVR,RELIANCE,SUNPHARMA,TATAMOTORS,TCS,FUTCOM-OIL
2005-06-07,51.09896469116211,96.76033020019531,67.630615234375,44.86393737792969,69.62296295166016,114.17094421386719,2348.0
2005-06-08,50.8818359375,96.05229187011719,68.93914031982422,44.93272399902344,69.98224639892578,115.46131896972656,2306.0
2005-06-09,50.295589447021484,99.65974426269531,69.01321411132812,44.13555908203125,69.51118469238281,114.13872528076172,2342.0
2005-06-10,50.052406311035156,98.37859344482422,69.9390640258789,44.519989013671875,67.50711822509766,113.14327239990234,2342.0
2005-06-13,50.573516845703125,100.94087982177734,70.3155746459961,44.43905258178711,67.6987533569336,113.63477325439453,2396.0
2005-06-14,51.54624938964844,99.79459381103516,70.86493682861328,44.754676818847656,67.0520248413086,113.13436126708984,2398.0
2005-06-15,51.342159271240234,100.53633117675781,70.97603607177734,45.51137924194336,67.46720123291016,113.67948913574219,2460.0
2005-06-16,51.71560287475586,100.60374450683594,72.86478424072266,45.83915328979492,68.21772766113281,114.17452239990234,2462.0
2005-06-17,51.863258361816406,100.70487976074219,74.0992660522461,45.35356521606445,66.98016357421875,113.27734375,2517.0
2005-06-20,51.989192962646484,100.06431579589844,77.83354949951172,45.701568603515625,66.10189819335938,115.80081939697266,2558.0
2005-06-21,52.33659362792969,102.93000793457031,79.76548767089844,45.16338348388672,66.67676544189453,116.6229476928711,2561.0
2005-06-22,51.24660873413086,104.11001586914062,80.80242919921875,45.4749641418457,67.9462661743164,119.14830017089844,2506.0
2005-06-23,50.42152404785156,104.75061798095703,80.31482696533203,45.851287841796875,70.22484588623047,116.82853698730469,2567.0
2005-06-24,50.5865478515625,110.04373931884766,80.81480407714844,46.04551696777344,70.8664779663086,118.4691390991211,2566.0
2005-06-27,52.080379486083984,109.53807067871094,80.07410430908203,47.06121826171875,71.22840881347656,117.6380386352539,2609.0
2005-06-28,51.242271423339844,109.7740478515625,77.71627044677734,45.66920852661133,68.69482421875,118.27255249023438,2510.0
2005-06-29,52.249752044677734,109.7403335571289,79.23467254638672,47.077396392822266,70.7019271850586,119.07676696777344,2486.0
2005-06-30,55.24177932739258,110.616943359375,79.32108306884766,47.182594299316406,69.9945297241211,121.35902404785156,2433.0
2005-07-01,53.6784553527832,111.15631866455078,79.01862335205078,47.58725357055664,70.4222640991211,120.8497085571289,2524.0
2005-07-04,54.885684967041016,110.78550720214844,79.54945373535156,48.89833450317383,70.2495346069336,121.44485473632812,2529.0
2005-07-05,54.98556137084961,109.7740478515625,78.76557159423828,48.77288055419922,72.94763946533203,117.97228240966797,2570.0
2005-07-06,56.153709411621094,110.01001739501953,79.6482162475586,49.33940124511719,72.89827728271484,118.680908203125,2609.0
2005-07-07,55.63261032104492,106.77349090576172,75.79045867919922,48.902381896972656,71.85358428955078,117.47538757324219,2565.0
2005-07-08,56.609683990478516,106.97576904296875,76.57439422607422,49.954471588134766,71.58213806152344,117.60453033447266,2625.0
2005-07-11,57.6649169921875,106.67230987548828,78.25325775146484,49.48102569580078,73.81958770751953,118.9464340209961,2541.0
2005-07-12,57.15250015258789,107.04322052001953,78.79640197753906,48.776939392089844,76.9454345703125,115.34412384033203,2628.0
2005-07-13,55.83236312866211,105.6609115600586,77.88908386230469,48.56247329711914,75.84317016601562,113.986083984375,2630.0
2005-07-14,56.036468505859375,104.95291900634766,79.19146728515625,48.59484100341797,74.93831634521484,109.88139343261719,2512.0
2005-07-15,54.768436431884766,105.3912353515625,82.2961654663086,48.97116470336914,76.30382537841797,111.98580169677734,2540.0
2005-07-18,54.52090835571289,107.85232543945312,81.69744873046875,49.59028244018555,77.08528137207031,118.6001968383789,2520.0
2005-07-19,55.56311798095703,107.8186264038086,82.04926300048828,50.852806091308594,78.43433380126953,118.32754516601562,2518.0
2005-07-20,55.70643615722656,108.05463409423828,83.83306121826172,52.37024688720703,77.34028625488281,117.34976196289062,2517.0
2005-07-21,55.72380828857422,106.84091186523438,83.7281494140625,52.552345275878906,75.8843002319336,115.73883819580078,2461.0
2005-07-22,56.32306671142578,109.0323486328125,85.12310028076172,50.933738708496094,77.57884216308594,116.06708526611328,2506.0
2005-07-25,58.5942268371582,111.59467315673828,84.8761978149414,49.88569641113281,77.90788269042969,115.20597839355469,2530.0
2005-07-26,58.90690612792969,110.616943359375,85.32062530517578,48.190181732177734,78.6482162475586,113.49273681640625,2534.0
2005-07-27,61.247535705566406,110.81920623779297,86.27115631103516,48.890235900878906,79.01014709472656,115.21855163574219,2557.0
2005-07-28,61.247535705566406,110.81920623779297,188.70846557617188,48.890235900878906,79.01014709472656,230.43710327148438,2557.0
2005-07-29,60.74814224243164,112.37005615234375,86.82665252685547,50.298423767089844,79.11708068847656,113.8102798461914,2607.0
2005-08-01,58.75490188598633,117.39356231689453,87.36983489990234,49.30703353881836,82.43214416503906,112.32125091552734,2632.0
2005-08-02,58.10352325439453,115.43810272216797,91.53002166748047,49.86140441894531,86.6849594116211,115.73883819580078,2657.0
2005-08-03,58.77662658691406,113.17923736572266,88.2031021118164,50.2255973815918,84.00328826904297,116.6770248413086,2656.0
